measurement_date_time,temperature_F,humidity_percent
2024-07-03 00:00:00,67.85,98.39
2024-07-03 01:00:00,67.69,98.55
2024-07-03 02:00:00,67.56,98.66
2024-07-03 03:00:00,67.30,98.78
2024-07-03 04:00:00,66.91,98.80
2024-07-03 05:00:00,66.30,98.71
2024-07-03 06:00:00,66.11,98.39
2024-07-03 07:00:00,71.06,96.55
2024-07-03 08:00:00,71.32,97.81
2024-07-03 09:00:00,72.24,97.60
2024-07-03 10:00:00,74.36,96.55
2024-07-03 11:00:00,76.23,95.38
2024-07-03 12:00:00,77.02,93.55
2024-07-03 13:00:00,77.67,90.22
2024-07-03 14:00:00,78.50,84.28
2024-07-03 15:00:00,79.44,76.21
2024-07-03 16:00:00,79.63,71.22
2024-07-03 17:00:00,79.98,67.05
2024-07-03 18:00:00,79.55,64.74
2024-07-03 19:00:00,78.48,63.14
2024-07-03 20:00:00,76.97,62.97
2024-07-03 21:00:00,74.83,65.20
2024-07-03 22:00:00,72.72,68.79
2024-07-03 23:00:00,71.04,71.82
